id	id_num	dist	pop.dens
AT111	111	18806	100.16
AT112	112	18573	102.25
AT113	113	21311	117.83
AT121	121	18507	128.16
AT122	122	17819	223.18
AT123	123	16791	173.4
AT124	124	16762	84.59
AT125	125	18166	60.95
AT126	126	18745	123.86
AT127	127	18486	271.89
AT13	13	14698	4782.14
AT211	211	16878	393.82
AT212	212	18364	211.2
AT213	213	18139	142.24
AT221	221	17280	618.88
AT222	222	15613	185.31
AT223	223	16180	365.96
AT224	224	21481	142.3
AT225	225	17767	188.19
AT226	226	17297	159.17
AT311	311	17743	129.24
AT312	312	17004	380.74
AT313	313	17399	120.39
AT314	314	16951	170.82
AT315	315	18259	255.28
AT321	321	15945	167.66
AT322	322	15891	233.91
AT323	323	15913	456.22
AT331	331	14813	227.66
AT332	332	15693	847.86
AT333	333	16888	262.71
AT334	334	17422	355.27
AT335	335	16072	301.08
AT341	341	15596	312.21
AT342	342	14549	731.26
